# Shorthand,Name,Wave
,,
AE,Aeon's End,1
N,The Nameless,1
D,The Depths,1
W,War Eternal,2
V,The Void,2
OD,The Outer Dark,2
,Legacy,3
BS,Buried Secrets,3
NA,The New Age,4
TA,The Ancients,4
SD,Shattered Dreams,4
ITW,Into the Wild,4
O,Outcasts,5
SV,Southern Village,5
RTG,Return to Gravehold,5
P,Dice Tower,2
P,Legacy (Kickstarter Exclusive),3
P,The New Age (Kickstarter Exclusive),4
P,Outcasts (Kickstarter Exclusive),5
GH,Legacy of Gravehold (Gravehold),6
AZ,Legacy of Gravehold (Azer),6
L2,Legacy of Gravehold,6
RU,The Ruins,6
PAS,Past and Future (Past),7
FUT,Past and Future (Future),7
EXP,Past and Future (Expansion),7
P,Past and Future (Promo),7
ATD,The Descent,8
AB,The Abyss,8
TC,The Caverns,8
TOG,Tales of Old Gravehold,8
P,The Descent (Kickstarter Exclusive),8
